ID,Stagione,Giornata,Data,CASA,TRAS,GC,GT
19293033LAZPRO,1929-30,33,29/06/1930,LAZIO,PRO VERCELLI,3.0,2.0
19293033PADNAP,1929-30,33,29/06/1930,PADOVA,NAPOLI,3.0,0.0
19293033PROTRI,1929-30,33,29/06/1930,PRO PATRIA,TRIESTINA,1.0,1.0
19293033TORMIL,1929-30,33,29/06/1930,TORINO,MILAN,0.0,0.0
19293034CREALE,1929-30,34,19/06/1930,CREMONESE,ALESSANDRIA,1.0,1.0
19293034JUVLAZ,1929-30,34,06/07/1930,JUVENTUS,LAZIO,3.0,1.0
19293034LIVBRE,1929-30,34,06/07/1930,LIVORNO,BRESCIA,5.0,3.0
19293034MILGEN,1929-30,34,06/07/1930,MILAN,GENOA,0.0,2.0
19293034MODINT,1929-30,34,06/07/1930,MODENA,INTER,2.0,0.0
19293034PROTOR,1929-30,34,06/07/1930,PRO PATRIA,TORINO,1.0,0.0
19293034PROBOL,1929-30,34,13/07/1930,PRO VERCELLI,BOLOGNA,2.0,2.0
19293034ROMPAD,1929-30,34,06/07/1930,ROMA,PADOVA,8.0,0.0
19293034TRINAP,1929-30,34,06/07/1930,TRIESTINA,NAPOLI,3.0,4.0
19303101ALEBRE,1930-31,1,28/09/1930,ALESSANDRIA,BRESCIA,4.0,0.0
